No,surname,first_name,Games,Age,Date of Birth,Height,Weight,Origin,Position_1,Position_2
7,Baker,Liam,87,25yr 1mth,27 Jan 1998,173cm,72kg,Subiaco,Defender,Forward
21,Balta,Noah,62,23yr 4mth,23 Oct 1999,194cm,102kg,Calder Cannons,Defender,Forward
41,Banks,Sam,0,19yr 10mth,2 Apr 2003,186cm,71kg,Tasmania Devils,Defender,Midfield
43,Bauer,Jacob,0,20yr 6mth,6 Aug 2002,191cm,80kg,North Adelaide,Forward,NA
29,Bolton,Shai,90,24yr 2mth,8 Dec 1998,175cm,77kg,South Fremantle,Midfield,Forward
37,Bradtke,Kaelan,0,21yr 9mth,21 May 2001,195cm,95kg,Corowa-Rutherglen,Defender,Forward
35,Broad,Nathan,107,29yr 10mth,15 Apr 1993,192cm,89kg,Swan Districts,Defender,NA
30,Brown,Tom,0,19yr 6mth,30 Jul 2003,186cm,77kg,Murray Bushrangers,Defender,NA
44,Campbell,Seth,0,18yr 1mth,29 Dec 2004,182cm,73kg,Tasmania Devils,Forward,NA
11,Castagna,Jason,134,26yr 7mth,12 Jul 1996,182cm,82kg,Northern Knights,Forward,NA
42,Clarke,Judson,3,19yr 4mth,17 Oct 2003,179cm,69kg,Dandenong Stingrays,Forward,NA
39,Colina,Mate,0,23yr 9mth,20 May 1999,213cm,111kg,Hawaii,Forward,Ruck
9,Cotchin,Trent,287,32yr 10mth,7 Apr 1990,185cm,86kg,Northern Knights,Midfield,NA
38,Cumberland,Noah,9,21yr 11mth,15 Mar 2001,183cm,80kg,Brisbane Lions Academy,Forward,NA
27,Dow,Thomson,13,21yr 4mth,16 Oct 2001,183cm,77kg,Bendigo Pioneers,Midfield,NA
28,Gibcus,Josh,18,19yr 10mth,4 Apr 2003,196cm,87kg,GWV Rebels,Defender,NA
34,Graham,Jack,97,25yr,25 Feb 1998,181cm,83kg,North Adelaide,Midfield,Forward
48,Green,Steely,0,19yr 1mth,9 Jan 2004,179cm,75kg,South Fremantle,Midfield,NA
2,Grimes,Dylan,207,31yr 7mth,16 Jul 1991,194cm,91kg,Northern Knights,Defender,NA
22,Hopper,Jacob,114,26yr,6 Feb 1997,187cm,88kg,North Ballarat Rebels,Midfield,NA
19,Lynch,Tom,212,30yr 3mth,31 Oct 1992,199cm,98kg,Dandenong Stingrays,Forward,NA
31,Mansell,Rhyan,15,22yr 8mth,4 Jun 2000,180cm,70kg,Woodville West-Torrens,Defender,NA
4,Martin,Dustin,269,31yr 8mth,26 Jun 1991,187cm,91kg,Bendigo Pioneers,Midfield,Forward
33,Mcintosh,Kamdyn,146,28yr 10mth,3 Apr 1994,191cm,92kg,Peel Thunder,Midfield,NA
46,Miller,Ben,12,23yr 5mth,31 Aug 1999,198cm,96kg,Subiaco,Defender,NA
25,Nankervis,Toby,121,28yr 6mth,12 Aug 1994,199cm,102kg,North Launceston,Ruck,NA
47,Nyuon,Bigoa,1,21yr 9mth,18 May 2001,197cm,92kg,Dandenong Stingrays,Defender,NA
50,Pickett,Marlion,57,31yr 1mth,6 Jan 1992,184cm,80kg,South Fremantle,Midfield,NA
3,Prestia,Dion,192,30yr 4mth,12 Oct 1992,175cm,82kg,Calder Cannons,Midfield,NA
13,Ralphsmith,Hugo,19,21yr 3mth,9 Nov 2001,188cm,83kg,Sandringham Dragons,Defender,NA
8,Riewoldt,Jack,326,34yr 3mth,31 Oct 1988,193cm,92kg,Tassie Mariners,Forward,NA
17,Rioli,Daniel,137,25yr 10mth,16 Apr 1997,179cm,77kg,North Ballarat Rebels,Defender,NA
10,Rioli,Maurice,17,20yr 5mth,1 Sep 2002,179cm,75kg,Oakleigh Chargers,Forward,NA
5,Ross,Jack,44,22yr 5mth,3 Sep 2000,187cm,85kg,Oakleigh Chargers,Midfield,NA
32,Ryan,Samson,1,22yr 2mth,9 Dec 2000,206cm,96kg,Lions Academy,Forward,Ruck
15,Short,Jayden,137,27yr 1mth,24 Jan 1996,178cm,76kg,Northern Knights,Midfield,NA
49,Smith,Kaleb,0,18yr 3mth,20 Nov 2004,180cm,79kg,East Fremantle,Defender,NA
20,Soldo,Ivan,49,26yr 10mth,14 Apr 1996,204cm,106kg,Daramalan College,Forward,Ruck
40,Sonsie,Tyler,7,20yr 1mth,27 Jan 2003,181cm,78kg,Eastern Ranges,Midfield,Forward
14,Taranto,Tim,114,25yr 1mth,28 Jan 1998,188cm,89kg,Sandringham Dragons,Midfield,Forward
6,Tarrant,Robbie,194,33yr 10mth,25 Apr 1989,196cm,97kg,Bendigo Pioneers,Defender,NA
1,Vlastuin,Nick,190,28yr 10mth,19 Apr 1994,187cm,88kg,Northern Knights,Defender,NA
45,Young,Tylar,0,24yr 5mth,5 Sep 1998,196cm,92kg,Richmond VFL,Defender,NA
26,Adams,Jed,0,18yr 9mth,14 May 2004,196cm,89kg,Peel Thunder,Defender,NA
17,Bowey,Jake,24,20yr 5mth,12 Sep 2002,176cm,69kg,Sandringham Dragons,Defender,NA
10,Brayshaw,Angus,143,27yr 1mth,9 Jan 1996,187cm,91kg,Sandringham Dragons,Defender,NA
50,Brown,Ben,162,30yr 3mth,20 Nov 1992,200cm,100kg,Werribee Tigers,Forward,NA
37,Chandler,Kade,10,23yr 1mth,13 Jan 2000,175cm,76kg,Norwood,Forward,NA
27,Dunstan,Luke,121,28yr,29 Jan 1995,185cm,84kg,Woodville West Torrens,Midfield,NA
43,Farris-White,Kyah,,,,,,,,NA
31,Fritsch,Bayley,109,26yr 2mth,6 Dec 1996,188cm,84kg,Casey Demons,Forward,NA
11,Gawn,Max,181,31yr 1mth,30 Dec 1991,208cm,108kg,Sandringham Dragons,Ruck,NA
6,Grundy,Brodie,177,28yr 10mth,15 Apr 1994,203cm,108kg,Sturt,Ruck,NA
4,Harmes,James,143,27yr 4mth,5 Oct 1995,185cm,85kg,Dandenong Stingrays,Midfield,Forward
14,Hibberd,Michael,185,33yr 1mth,3 Jan 1990,186cm,94kg,Frankston,Defender,NA
22,Howes,Blake,0,19yr 10mth,7 Apr 2003,190cm,79kg,Sandringham Dragons,Midfield,Forward
12,Hunter,Lachlan,173,28yr 2mth,13 Dec 1994,182cm,81kg,Western Jets,Midfield,NA
21,Jefferson,Matthew,0,18yr 11mth,8 Mar 2004,195cm,84kg,Oakleigh Chargers,Forward,NA
23,Jordon,James,47,22yr 2mth,20 Dec 2000,187cm,82kg,Oakleigh Chargers,Midfield,NA
15,Langdon,Ed,132,27yr,1 Feb 1996,182cm,76kg,Sandringham Dragons,Midfield,NA
16,Laurie,Bailey,0,20yr 11mth,24 Mar 2002,181cm,77kg,Oakleigh Chargers,Midfield,Forward
8,Lever,Jake,136,26yr 11mth,5 Mar 1996,195cm,89kg,Calder Cannons,Defender,NA
1,May,Steven,193,31yr 1mth,10 Jan 1992,193cm,100kg,Southern Districts,Defender,NA
25,McDonald,Tom,202,30yr 5mth,18 Sep 1992,194cm,99kg,North Ballarat,Forward,NA
41,McVee,Judd,0,19yr 6mth,7 Aug 2003,183cm,72kg,East Fremantle,Defender,Midfield
18,Melksham,Jake,208,31yr 5mth,29 Aug 1991,186cm,86kg,Calder Cannons,Forward,NA
45,Moniz-Wakefield,Andy,0,19yr 4mth,26 Oct 2003,181cm,70kg,NT Thunder,Forward,NA
30,Neal-Bullen,Alex,128,27yr 1mth,9 Jan 1996,183cm,80kg,Glenelg,Forward,NA
13,Oliver,Clayton,147,25yr 7mth,22 Jul 1997,187cm,88kg,Murray Bushrangers,Midfield,NA
5,Petracca,Christian,151,27yr 1mth,4 Jan 1996,186cm,97kg,Eastern Ranges,Midfield,NA
35,Petty,Harrison,48,23yr 3mth,12 Nov 1999,197cm,90kg,Norwood,Defender,NA
36,Pickett,Kysaiah,62,21yr 8mth,2 Jun 2001,171cm,72kg,Woodville West Torrens,Forward,NA
24,Rivers,Trent,52,21yr 6mth,30 Jul 2001,188cm,88kg,East Fremantle,Defender,NA
3,Salem,Christian,143,27yr 7mth,15 Jul 1995,183cm,84kg,Sandringham Dragons,Defender,NA
19,Schache,Josh,72,25yr 6mth,21 Aug 1997,201cm,94kg,Murray Bushrangers,Forward,NA
38,Sestan,Oliver,0,18yr 10mth,15 Apr 2004,186cm,88kg,Mansfield,Forward,NA
34,Smith,Deakyn,0,20yr 6mth,22 Aug 2002,179cm,65kg,Dandenong Stingrays,Defender,NA
29,Smith,Joel,28,27yr,25 Feb 1996,191cm,88kg,Geelong Supercats,Defender,NA
9,Spargo,Charlie,83,23yr 3mth,25 Nov 1999,173cm,74kg,Murray Bushrangers,Forward,NA
32,Sparrow,Tom,51,22yr 8mth,31 May 2000,183cm,84kg,South Adelaide,Midfield,Forward
20,Tomlinson,Adam,168,29yr 6mth,10 Aug 1993,194cm,96kg,Oakleigh Chargers,Defender,NA
42,Turner,Daniel,1,21yr 1mth,28 Jan 2002,192cm,80kg,Murray Bushrangers,Defender,NA
33,Turner,Kye,0,21yr,6 Feb 2002,193cm,78kg,Frankston,Defender,NA
2,Van Rooyen,Jacob,0,19yr 10mth,16 Apr 2003,193cm,91kg,Claremont,Forward,NA
28,Verrall,Will,0,18yr 11mth,11 Mar 2004,199cm,95kg,South Adelaide,Ruck,NA
7,Viney,Jack,172,28yr 10mth,13 Apr 1994,178cm,86kg,Oakleigh Chargers,Midfield,NA
40,Woewodin,Taj,0,19yr 11mth,26 Mar 2003,183cm,78kg,East Fremantle,Midfield,Forward
13,Baker,Oskar,15,24yr 9mth,25 May 1998,184cm,84kg,Aspley,Midfield,NA
26,Bedendo,Dominic,2,20yr 7mth,9 Jul 2002,191cm,75kg,Murray Bushrangers,Midfield,NA
4,Bontempelli,Marcus,193,27yr 3mth,24 Nov 1995,193cm,93kg,Northern Knights,Midfield,NA
17,Bruce,Josh,155,30yr 8mth,8 Jun 1992,198cm,97kg,Canberra,Forward,NA
5,Busslinger,Jedd,0,18yr 11mth,11 Mar 2004,196cm,83kg,East Perth,Defender,NA
8,Clarke,Charlie,0,19yr 1mth,4 Jan 2004,183cm,79kg,Sandringham Dragons,Forward,NA
36,Cleary,Luke,4,20yr 11mth,5 Mar 2002,190cm,80kg,Sandringham Dragons,Defender,NA
9,Crozier,Hayden,138,29yr 2mth,24 Dec 1993,187cm,81kg,Eastern Ranges,Defender,NA
31,Dale,Bailey,108,26yr 7mth,22 Jul 1996,187cm,83kg,Dandenong Stingrays,Defender,NA
35,Daniel,Caleb,153,26yr 7mth,7 Jul 1996,170cm,69kg,South Adelaide,Defender,NA
