Player,Season,Round,AF
Daniel Connors,2010,Round 1,77
Daniel Jackson,2010,Round 1,85
Brett Deledio,2010,Round 1,94
Ben Cousins,2010,Round 1,65
Trent Cotchin,2010,Round 1,65
Dustin Martin,2010,Round 1,62
Shane Edwards,2010,Round 1,56
Adam Thomson,2010,Round 1,77
Luke McGuane,2010,Round 1,61
Robin Nahas,2010,Round 1,56
Richard Tambling,2010,Round 1,76
Jack Riewoldt,2010,Round 1,71
Chris Newman,2010,Round 1,37
Tom Hislop,2010,Round 1,49
Mitch Farmer,2010,Round 1,33
Kelvin Moore,2010,Round 1,41
Ben Nason,2010,Round 1,49
Troy Simmonds,2010,Round 1,41
Will Thursfield,2010,Round 1,37
Mitch Morton,2010,Round 1,52
Relton Roberts,2010,Round 1,38
Tyrone Vickery,2010,Round 1,28
Andrew Carrazzo,2010,Round 1,131
Heath Scotland,2010,Round 1,124
Kade Simpson,2010,Round 1,119
Ryan Houlihan,2010,Round 1,99
Brock McLean,2010,Round 1,93
Jordan Russell,2010,Round 1,101
Paul Bower,2010,Round 1,118
Marc Murphy,2010,Round 1,93
Bryce Gibbs,2010,Round 1,106
Bret Thornton,2010,Round 1,90
Eddie Betts,2010,Round 1,110
Andrew Walker,2010,Round 1,74
Jarrad Waite,2010,Round 1,88
Robert Warnock,2010,Round 1,85
Joe Anderson,2010,Round 1,64
Matthew Kreuzer,2010,Round 1,89
Mitch Robinson,2010,Round 1,78
Setanta O'hAilpin,2010,Round 1,78
Christopher Yarran,2010,Round 1,76
Aaron Joseph,2010,Round 1,45
Lachlan Henderson,2010,Round 1,49
Michael Jamison,2010,Round 1,28
Gary Ablett,2010,Round 1,129
Cameron Ling,2010,Round 1,87
Jimmy Bartel,2010,Round 1,114
Paul Chapman,2010,Round 1,105
Joel Corey,2010,Round 1,80
Corey Enright,2010,Round 1,90
Shannon Byrnes,2010,Round 1,141
Steve Johnson,2010,Round 1,96
Joel Selwood,2010,Round 1,107
James Kelly,2010,Round 1,106
Andrew Mackie,2010,Round 1,79
Darren Milburn,2010,Round 1,69
Tom Lonergan,2010,Round 1,58
Matthew Scarlett,2010,Round 1,50
David Wojcinski,2010,Round 1,43
Josh Hunt,2010,Round 1,46
Tom Hawkins,2010,Round 1,77
